time,x_bias=-4.471635,y_bias=-9.585345000000002,z_bias=-0.47704125000000003
1616000059.6769783,-4.440996609121949,-9.836319937388351,-0.27739351438756077
1616000059.7346184,-4.433755583526738,-9.831434658533189,-0.08693422170398774
1616000059.9994907,-4.46294606519041,-9.765546232740094,-0.0678300533851576
1616000060.0569909,-4.565928918404608,-9.684283042715666,-0.04094084400236939
1616000060.3235562,-4.599219774805253,-9.751390838086245,-0.07478935190412303
1616000060.5471623,-4.602009801286628,-9.751274910408329,-0.11872404380123097
1616000060.7101145,-4.623640503793734,-9.729111931093085,-0.21944019469898743
1616000060.9745028,-4.640141598755797,-9.713720811782155,-0.23010829275199757
1616000061.0877347,-4.623075777462339,-9.708055598926899,-0.2134758774854808
1616000061.2004738,-4.5985398821594945,-9.762968894993342,-0.21045792971150004
1616000061.4739769,-4.644317757443123,-9.78538718954424,-0.23935291027594013
1616000061.6383677,-4.666664555729304,-9.779695872127585,-0.25475674698783446
1616000061.7500477,-4.664393681070291,-9.787510299272247,-0.27092508772277657
1616000062.0206347,-4.674472272023144,-9.780043426745893,-0.2803705350147688
1616000062.9887753,-4.466910385043085,-9.841731096411888,-0.3803506013825824
1616000063.0477057,-4.42819820094692,-9.869548466117358,-0.44770274567091833
1616000063.1597962,-4.411106931748076,-9.867312201641623,-0.4576199610320671
1616000063.3231618,-4.411271278806289,-9.846334188828955,-0.501519948807529
1616000063.435011,-4.358517345261419,-9.77710469544068,-0.5382004789974166
1616000063.547973,-4.311604019171173,-9.733629308261033,-0.5685225864742072
1616000063.8140585,-4.3183629789794615,-9.715130515178423,-0.5806873606094651
1616000063.8732069,-4.339930055697771,-9.665043917926372,-0.5841309321333368
1616000063.9858966,-4.374837605498407,-9.563099460180117,-0.5068843482858654
1616000064.0930161,-4.379928900027499,-9.650414198113307,-0.5480876850074269
1616000064.1526613,-4.411360564916952,-9.642442955570852,-0.5738756150757791
1616000064.2027972,-4.424384459267782,-9.627918526015144,-0.5612243589250213
1616000064.2610443,-4.411607583528353,-9.633404447347441,-0.5466959941824133
1616000064.3748357,-4.325511329843824,-9.73101152990374,-0.545742226921606
1616000064.4874113,-4.2524107530970205,-9.73659802135061,-0.4785920016501626
1616000064.6021512,-4.2225823476820326,-9.764206809411208,-0.460236913810904
1616000064.7660787,-4.208566902093371,-9.796771024360009,-0.41223396673910356
1616000065.0338588,-4.263676405631513,-9.760419963702626,-0.4159367881528201
1616000065.1454585,-4.273957808630772,-9.768525274094587,-0.41357962429931433
1616000065.517623,-4.340173449804435,-9.654826020306382,-0.36291876760507913
1616000065.630635,-4.396096336940075,-9.61915351981299,-0.38236660776555625
1616000065.6901793,-4.525337401702724,-9.588981238992465,-0.4250891059500601
1616000065.9584126,-4.542527177436484,-9.493215273677608,-0.30149695254401904
1616000066.0703533,-4.628221471461054,-9.492899096793613,-0.34679233199328463
1616000066.2350779,-4.574878689222444,-9.520318012970279,-0.33420304922031596
1616000066.6728005,-4.5923611007673655,-9.509389887118461,-0.33385738396156667
1616000066.784928,-4.599695638167465,-9.58206152162553,-0.3301308522540609
1616000066.8351793,-4.565249619268253,-9.61862407362173,-0.33961401331126306
1616000067.3135283,-4.589251918648103,-9.62453230893598,-0.35150087378938616
1616000067.7369866,-4.674866718023948,-9.5724589916233,-0.32422565252673474
1616000067.7959285,-4.725071404131918,-9.516006320863097,-0.32277015517103824
1616000067.8549452,-4.732339837549218,-9.53248950591837,-0.3348709806918802
1616000067.9130933,-4.731399274781989,-9.559772839750595,-0.3437872981761118
1616000068.1286237,-4.703065916988497,-9.56282770321296,-0.3672388127767368
1616000068.3964927,-4.709137178866285,-9.493893556049052,-0.3184159631536321
1616000068.8841352,-4.673758257866671,-9.571030085931891,-0.3948452017595222
1616000069.1005685,-4.687707389916788,-9.651950545156394,-0.4369062944173136
1616000069.525698,-4.698409478492104,-9.69248675521397,-0.4705329390304985
1616000070.2672648,-4.33491873074794,-9.549879428350893,-0.3561663347315089
1616000070.3259702,-3.989421862918235,-9.597805414479948,-0.08889877047691183
1616000070.4370716,-3.8113852579177006,-9.600613887114479,0.07041791315502294
1616000070.711922,-3.589691251334446,-9.512789154283148,0.1939641061074589
1616000071.6628346,-2.927926672626711,-9.386938978421421,0.4876620614357157
1616000072.44916,-3.1159373350091424,-9.588864860469647,0.3038793431378561
1616000073.5741894,-2.9944520570424604,-9.5744788247463,0.20799064420941274
1616000075.0623722,-2.9455007111073157,-9.46495944613385,0.26542538038964547
1616000075.6961114,-2.754415606615075,-9.276889260050913,0.5651411596968691
1616000075.9623287,-2.536309650036459,-9.193252516277594,0.8902737195740446
1616000081.0911224,-2.652012383167309,-9.220700561808071,0.7622758738685448
1616000081.1968453,-2.673092259335636,-9.220543556189991,0.7512406151298593
1616000081.254856,-2.6918613367422797,-9.223363120628091,0.7410157089785607
1616000081.4171023,-2.7244816711411084,-9.229969694527592,0.7173961213698874
1616000081.7854016,-2.7406368544296975,-9.231119997582315,0.7047096601561885
1616000081.8954933,-2.776382431026547,-9.235312084630428,0.6798026879190804
1616000082.8565385,-3.040324569788048,-9.267861444289013,0.49556850197530483
1616000083.5865142,-3.196187759999763,-9.290575881573302,0.3818847683719913
1616000083.6968985,-3.2239082485757677,-9.296630671529995,0.3653138864813887
1616000084.3245287,-3.2826128249029662,-9.309049169978305,0.32444862561359883
1616000084.4362578,-3.3264350611641182,-9.308124257924973,0.29277102476440686
1616000084.6571364,-3.371553230153358,-9.310487055896942,0.2632279180448005
1616000084.982303,-3.4139821877629273,-9.31715565213875,0.23269697981944237
